name,longitude,latitude
Мартусы,34.803116,58.132325
Мертюха,42.018179,56.227428
Мортка речка,43.093727,56.845826
Морты,51.726972,55.809025
Морткино,40.487354,59.410446
Мортки,43.112045,56.862045
Мертень,48.044762,55.916396
Мертли Старые,48.325989,54.772888
Мартус,34.492699,57.77906
Мартисово,31.91233,56.571812
Мертли Новые,48.198959,54.815456
