name,longitude,latitude
Аунуксен река (верх),32.957595,60.980235
Аунуксен река (низ),32.593009,61.059714
Аунуксен гора,33.55186,60.880881
Аунуксен хижина,24.738418,67.582555
Аунуксен мыс,28.840669,65.010239
Аунукс/Унукс,45.442975,55.028918
Аунус город,32.970866,60.978685
